Time,Original,Adjusted
8pm or earlier,1,1.01010101010101
8.30pm,1,1.01010101010101
9pm,4,4.04040404040404
9.30pm,6,6.06060606060606
10pm,14,14.1414141414141
10.30pm,17,17.1717171717172
11pm,18,18.1818181818182
11.30pm,10,10.1010101010101
Around midnight,13,13.1313131313131
00.30,4,4.04040404040404
1am or later,11,11.1111111111111
